Nama Brand,Nama Produk,Harga,Gambar
SOMETHINC,REFILL Hooman Breathable UV Cushion Cover SPF35 PA++++,149000,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fh%2Fo%2Fhooman_00_cover.jpg&w=3840&q=75
SOMETHINC,REFILL Copy Paste Breathable Cushion,149000,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fs%2Fo%2Fsomethinc-copy_paste_breathable_cushion-refill-cover_1__1.jpg&w=3840&q=75
SOMETHINC,Copy Paste Breathable Cushion,208000,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fc%2Fh%2Fcharlotte_1.jpg&w=3840&q=75
SOMETHINC,Brow Matters,72000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
AZARINE,Sweet Treats Eyeshadow,62000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
AZARINE,Pop The Soda! Highlighter,59000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
AZARINE,Tinted Lippie Cake,49000,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2F2%2F3%2F236_1.png&w=3840&q=75
BUTTONSCARVES BEAUTY,Eyemazing Mascara - Black,375000,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fm%2Fa%2Fmascara2_1_.jpg&w=3840&q=75
BUTTONSCARVES BEAUTY,Wow Brow Setting Treatment - Clear,245000,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2F1%2F1%2F11_28_.png&w=3840&q=75
CLEYA BEAUTY,Air Kiss Lip Blush,98100,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fc%2Fo%2Fcompassion_1.png&w=3840&q=75
DEW IT SKIN ,Plump & Glow SPF Lip Peptide,88000,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2F2%2F0%2F205.png&w=3840&q=75
SASC,Lift Oléoactif White Truffle Flawless Cushion,215550,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fp%2Fe%2Fpetal_1.png&w=3840&q=75
SASC,Ultimatte Lip Liquid,143550,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fq%2Fu%2Fqueen_bee_1.png&w=3840&q=75
SASC,Effortless Brow Definer,119500,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fw%2Fa%2Fwalnut_sasc_1.jpg&w=3840&q=75
SASC,Stay Perfect Liquid Blush,139500,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
LUXCRIME,Double Duty Mascara,126650,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
LUXCRIME,Perfect Canvas Primer - Mattifying Poreless Primer,84150,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
LUXCRIME,Perfect Canvas Primer - Hydro Blur Finish Primer,84150,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
